Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Dakshina Kannada,19.02402976,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,PADMARAJ.R.POOJARY,Indian National Congress,357622.7408,Result Declared
Daman & Diu,19.02545808,PATEL UMESHBHAI BABUBHAI,Independent,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,358146.8123,Result Declared
Darbhanga,19.0268864,GOPAL JEE THAKUR,Bharatiya Janata Party,LALIT KUMAR YADAV,Rashtriya Janata Dal,358670.8837,Result Declared
Darjeeling,19.02831472,RAJU BISTA,Bharatiya Janata Party,GOPAL LAMA,All India Trinamool Congress,359194.9552,Result Declared
Darrang-Udalguri,19.02974304,DILIP SAIKIA,Bharatiya Janata Party,MADHAB RAJBANGSHI,Indian National Congress,359719.0266,Result Declared
Davanagere,19.03117136,DR. PRABHA MALLIKARJUN,Indian National Congress,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,360243.0981,Result Declared
Deoria,19.03259968,SHASHANK MANI,Bharatiya Janata Party,AKHILESH PRATAP SINGH,Indian National Congress,360767.1696,Result Declared
Dhanbad,19.034028,DULU MAHATO,Bharatiya Janata Party,ANUPAMA SINGH,Indian National Congress,361291.241,Result Declared
Dharwad,19.03545631,PRALHAD JOSHI,Bharatiya Janata Party,VINOD ASOOTI,Indian National Congress,361815.3125,Result Declared
Dhaurahra,19.03688463,ANAND BHADAURIYA,Samajwadi Party,REKHA VERMA,Bharatiya Janata Party,362339.3839,Result Declared
Dhenkanal,19.03831295,RUDRA NARAYAN PANY,Bharatiya Janata Party,ABINASH SAMAL,Biju Janata Dal,362863.4554,Result Declared
Dhubri,19.03974127,RAKIBUL HUSSAIN,Indian National Congress,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,363387.5268,Result Declared
Dhule,19.04116959,BACHHAV SHOBHA DINESH,Indian National Congress,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,363911.5983,Result Declared
Diamond harbour,19.04259791,ABHISHEK BANERJEE,All India Trinamool Congress,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,364435.6697,Result Declared
Dibrugarh,19.04402623,SARBANANDA SONOWAL,Bharatiya Janata Party,LURINJYOTI GOGOI,Assam Jatiya Parishad,364959.7412,Result Declared
Dindori,19.04545455,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,365483.8126,Result Declared
Diphu,19.04688286,AMARSING TISSO,Bharatiya Janata Party,J. I. KATHAR,Independent,366007.8841,Result Declared
Domariyaganj,19.04831118,JAGDAMBIKA PAL,Bharatiya Janata Party,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,366531.9555,Result Declared
Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
AJMER,19.0497395,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,RAMCHANDRA CHOUDHARY,Indian National Congress,367056.027,Result Declared
ALWAR,19.05116782,BHUPENDER YADAV,Bharatiya Janata Party,LALIT YADAV,Indian National Congress,367580.0985,Result Declared
AMBALA,19.05259614,VARUN CHAUDHRY,Indian National Congress,BANTO KATARIA,Bharatiya Janata Party,368104.1699,Result Declared
ANANTNAG-RAJOURI,19.05402446,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,368628.2414,Result Declared
ARAKKONAM,19.05545278,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,369152.3128,Result Declared
ARANI,19.0568811,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,369676.3843,Result Declared
Adilabad,19.05830941,GODAM NAGESH,Bharatiya Janata Party,ATHRAM SUGUNA,Indian National Congress,370200.4557,Result Declared
Agra,19.05973773,PROF S P SINGH BAGHEL,Bharatiya Janata Party,SURESH CHAND KARDAM,Samajwadi Party,370724.5272,Result Declared
Ahmedabad East,19.06116605,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,371248.5986,Result Declared
Ahmedabad West,19.06259437,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,BHARAT YOGENDRA MAKWANA,Indian National Congress,371772.6701,Result Declared
Ahmednagar,19.06402269,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,372296.7415,Result Declared
Akbarpur,19.06545101,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,RAJARAM PAL,Samajwadi Party,372820.813,Result Declared
Akola,19.06687933,ANUP SANJAY DHOTRE,Bharatiya Janata Party,ABHAY KASHINATH PATIL,Indian National Congress,373344.8844,Result Declared
Alappuzha,19.06830765,K. C VENUGOPAL,Indian National Congress,A. M ARIFF,Communist Party of India (Marxist),373868.9559,Result Declared
Alathur,19.06973597,K.RADHAKRISHNAN,Communist Party of India (Marxist),RAMYA HARIDAS,Indian National Congress,374393.0274,Result Declared
Aligarh,19.07116428,SATISH KUMAR GAUTAM,Bharatiya Janata Party,BIJENDRA SINGH,Samajwadi Party,374917.0988,Result Declared
Alipurduars,19.0725926,MANOJ TIGGA,Bharatiya Janata Party,PRAKASH CHIK BARAIK,All India Trinamool Congress,375441.1703,Result Declared
Allahabad,19.07402092,UJJWAL RAMAN SINGH,Indian National Congress,NEERAJ TRIPATHI,Bharatiya Janata Party,375965.2417,Result Declared
Almora,19.07544924,AJAY TAMTA,Bharatiya Janata Party,PRADEEP TAMTA,Indian National Congress,376489.3132,Result Declared
Amalapuram (SC),19.07687756,G M HARISH (BALAYOGI),Telugu Desam,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,377013.3846,Result Declared
Ambedkar Nagar,19.07830588,LALJI VERMA,Samajwadi Party,RITESH PANDEY,Bharatiya Janata Party,377537.4561,Result Declared
Amethi,19.0797342,KISHORI LAL,Indian National Congress,SMRITI IRANI,Bharatiya Janata Party,378061.5275,Result Declared
Amravati,19.08116252,BALWANT BASWANT WANKHADE,Indian National Congress,NAVNEET RAVI RANA,Bharatiya Janata Party,378585.599,Result Declared
Amreli,19.08259083,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,JENNY THUMMAR,Indian National Congress,379109.6704,Result Declared
Amritsar,19.08401915,GURJEET SINGH AUJLA,Indian National Congress,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,379633.7419,Result Declared
Amroha,19.08544747,KANWAR SINGH TANWAR,Bharatiya Janata Party,KUNWAR DANISH ALI,Indian National Congress,380157.8134,Result Declared
Anakapalle,19.08687579,C.M.RAMESH,Bharatiya Janata Party,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,380681.8848,Result Declared
Anand,19.08830411,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,AMIT CHAVDA,Indian National Congress,381205.9563,Result Declared
Anandpur Sahib,19.08973243,MALVINDER SINGH KANG,Aam Aadmi Party,VIJAY INDER SINGLA,Indian National Congress,381730.0277,Result Declared
